timestamp,tc,internal
1772523096.203233,28.0,22.81
1772523097.210228,28.0,22.81
1772523098.217176,28.0,22.81
1772523099.2241569,28.0,22.81
1772523100.231192,28.25,22.81
1772523101.237257,28.25,22.81
1772523102.244145,28.25,22.81
1772523103.251132,28.0,22.81
1772523104.258113,28.25,22.81
1772523105.265176,28.25,22.81
1772523106.272228,28.25,22.81
1772523107.280246,28.25,22.75
1772523108.287266,28.25,22.75
1772523109.29428,28.25,22.75
1772523110.301261,28.25,22.75
1772523111.3091578,28.25,22.81
1772523112.3161862,28.25,22.81
1772523113.3232808,28.25,22.75
1772523114.331166,28.5,22.75
1772523115.338231,28.5,22.75
1772523116.345217,28.5,22.75
1772523117.3522618,28.5,22.75
1772523118.360149,28.25,22.75
1772523119.367213,28.5,22.75
1772523120.3751948,28.5,22.69
1772523121.382227,28.5,22.75
1772523122.3901598,28.5,22.75
1772523123.39725,28.5,22.75
1772523124.404284,28.5,22.69
1772523125.4121861,28.5,22.69
1772523126.419277,28.5,22.69
1772523127.4272482,28.75,22.69
1772523128.434283,28.5,22.62
1772523129.442245,28.5,22.62
1772523130.449276,28.5,22.62
1772523131.4563031,28.75,22.62
1772523132.464211,28.75,22.62
1772523133.471246,28.75,22.56
1772523134.478198,28.75,22.62
1772523135.486133,28.75,22.56
1772523136.492277,28.75,22.56
1772523137.499249,28.75,22.56
1772523138.506212,29.0,22.56
1772523139.51318,28.75,22.56
1772523140.519243,29.0,22.56
1772523141.526191,28.75,22.5
1772523142.533279,29.0,22.5
1772523143.540277,29.0,22.5
1772523144.547255,29.0,22.5
1772523145.554264,29.0,22.5
1772523146.5612538,29.0,22.5
1772523147.568286,29.0,22.44
1772523148.5762079,29.0,22.5
1772523149.5832598,29.0,22.44
1772523150.590288,29.0,22.44
1772523151.59821,29.0,22.44
1772523152.6053069,29.0,22.44
1772523153.613193,29.0,22.44
1772523154.620212,29.25,22.5
1772523155.627251,29.25,22.44
1772523156.633322,29.25,22.5
1772523157.640379,29.25,22.44
1772523158.647331,29.25,22.44
1772523159.655209,29.25,22.44
1772523160.662225,29.25,22.44
1772523161.669272,29.25,22.44
1772523162.676341,29.25,22.44
1772523163.6842408,29.25,22.44
1772523164.692211,29.25,22.44
1772523165.7002711,29.25,22.44
1772523166.707371,29.25,22.44
1772523167.715303,29.25,22.44
1772523168.7235441,29.25,22.44
1772523169.730268,29.5,22.5
1772523170.737299,29.5,22.44
1772523171.745253,29.5,22.5
1772523172.7522838,29.5,22.44
1772523173.7592719,29.5,22.44
1772523174.7662878,29.5,22.5
1772523175.774276,29.5,22.5
1772523176.781397,29.5,22.5
1772523177.789302,29.75,22.5
1772523178.7972522,29.75,22.5
1772523179.80528,29.75,22.5
1772523180.8123798,29.75,22.5
1772523181.820378,29.75,22.5
1772523182.828266,29.75,22.5
1772523183.836304,29.75,22.44
1772523184.8442628,29.75,22.5
1772523185.852258,29.75,22.5
1772523186.859318,29.75,22.5
1772523187.8672519,29.75,22.5
1772523188.875374,30.0,22.5
1772523189.881353,29.75,22.56
1772523190.889406,29.75,22.5
1772523191.896389,30.0,22.5
1772523192.903297,30.0,22.5
1772523193.909336,30.0,22.56
1772523194.917279,30.0,22.56
1772523195.92526,30.0,22.56
1772523196.933335,30.0,22.56
1772523197.941378,30.0,22.56
1772523198.949384,30.0,22.56
1772523199.958276,30.25,22.56
1772523200.9662879,30.25,22.56
1772523201.974292,30.0,22.56
1772523202.982302,30.25,22.56
1772523203.9902909,30.25,22.56
1772523204.998314,30.25,22.56
1772523206.006638,30.25,22.56
1772523207.015318,30.25,22.56
1772523208.023319,30.25,22.56
1772523209.031347,30.25,22.56
1772523210.039329,30.5,22.62
1772523211.047324,30.25,22.56
1772523212.055362,30.5,22.56
1772523213.063283,30.5,22.62
1772523214.070421,30.5,22.62
1772523215.0783749,30.5,22.62
1772523216.086384,30.5,22.62
1772523217.094354,30.5,22.62
1772523218.102377,30.5,22.62
1772523219.11033,30.75,22.62
1772523220.118312,30.5,22.62
1772523221.126382,30.5,22.62
1772523222.1343172,30.5,22.62
1772523223.142299,30.75,22.62
1772523224.149478,30.75,22.69
1772523225.157407,30.75,22.62
1772523226.166315,30.75,22.69
1772523227.1743731,30.75,22.69
1772523228.182424,30.75,22.62
1772523229.191168,30.75,22.62
1772523230.1991239,30.75,22.69
1772523231.207226,30.75,22.69
1772523232.2150662,30.75,22.69
1772523233.223882,30.75,22.69
1772523234.2318358,31.0,22.69
1772523235.23985,31.0,22.69
1772523236.247794,30.75,22.69
1772523237.25579,30.75,22.69
1772523238.263702,31.0,22.69
1772523239.271668,31.0,22.69
1772523240.2805219,31.0,22.69
1772523241.288496,31.0,22.69
1772523242.2964108,31.0,22.69
1772523243.3044,31.0,22.69
1772523244.312383,31.0,22.69
1772523245.320395,31.25,22.75
1772523246.3284018,31.25,22.75
1772523247.3363469,31.25,22.75
1772523248.3443048,31.0,22.69
1772523249.352297,31.25,22.75
1772523250.36036,31.25,22.75
1772523251.369195,31.25,22.75
1772523252.376244,31.25,22.75
1772523253.384285,31.25,22.75
1772523254.392229,31.25,22.75
1772523255.400191,31.25,22.75
1772523256.408163,31.25,22.75
1772523257.416098,31.25,22.75
1772523258.424149,31.5,22.75
1772523259.4321642,31.5,22.75
1772523260.440199,31.5,22.75
1772523261.449118,31.5,22.75
1772523262.457099,31.5,22.81
1772523263.4652429,31.5,22.81
1772523264.474102,31.5,22.75
1772523265.483084,31.5,22.81
1772523266.492012,31.5,22.81
1772523267.500062,31.5,22.81
1772523268.509019,31.5,22.81
1772523269.516981,31.5,22.75
1772523270.5251288,31.5,22.81
1772523271.533091,31.5,22.81
1772523272.541165,31.5,22.81
1772523273.5490718,31.5,22.81
1772523274.556997,31.75,22.88
1772523275.56504,31.75,22.81
1772523276.5721128,31.75,22.81
1772523277.580102,31.75,22.81
1772523278.5880802,31.75,22.88
1772523279.596946,31.75,22.88
1772523280.605022,31.75,22.81
1772523281.6139488,31.75,22.88
1772523282.621055,31.75,22.81
1772523283.62906,31.75,22.88
1772523284.6369789,31.75,22.81
1772523285.644984,32.0,22.88
1772523286.652972,32.0,22.88
1772523287.660972,32.0,22.88
1772523288.668106,32.0,22.88
1772523289.676067,32.0,22.88
1772523290.6839838,32.0,22.88
1772523291.69195,32.0,22.88
1772523292.699198,32.0,22.88
1772523293.706055,32.0,22.88
1772523294.7139661,32.25,22.88
1772523295.7209961,32.0,22.88
1772523296.728097,32.0,22.88
1772523297.735977,32.25,22.94
1772523298.743092,32.25,22.94
1772523299.75002,32.25,22.94
1772523300.757951,32.25,22.94
1772523301.7640162,32.25,22.94
1772523302.771955,32.25,22.94
1772523303.77894,32.25,22.94
1772523304.7859771,32.25,22.94
1772523305.7929978,32.25,22.94
1772523306.800002,32.25,22.94
1772523307.806988,32.25,22.94
1772523308.813992,32.25,22.94
1772523309.820996,32.5,22.94
1772523310.8279731,32.5,22.94
1772523311.8349938,32.5,22.94
1772523312.841023,32.5,22.94
1772523313.848019,32.5,22.94
1772523314.8549938,32.5,22.94
1772523315.861957,32.5,22.94
1772523316.868073,32.5,22.94
1772523317.875093,32.5,22.94
1772523318.882043,32.5,22.94
1772523319.889009,32.75,22.94
1772523320.896051,32.75,22.94
1772523321.903017,32.5,22.94
1772523322.910054,32.5,22.94
1772523323.917105,32.75,22.94
1772523324.9239738,32.75,22.94
1772523325.930037,32.75,22.94
1772523326.9360828,32.75,22.94
1772523327.943014,32.75,22.94
1772523328.949962,32.75,22.94
1772523329.956115,32.75,22.94
1772523330.9643369,32.75,22.94
1772523331.9700851,32.75,22.94
1772523332.977126,32.75,22.94
1772523333.9841359,33.0,22.94
1772523334.991094,32.75,22.94
1772523335.998123,32.75,22.94
1772523337.005127,32.75,22.94
1772523338.012144,33.0,22.94
1772523339.019139,33.0,22.94
1772523340.0261078,33.0,22.94
1772523341.034029,33.0,22.94
1772523342.041044,33.0,22.94
1772523343.048086,33.0,23.0
1772523344.05507,33.0,22.94
1772523345.06206,33.0,23.0
1772523346.069067,33.0,23.0
1772523347.075032,33.0,22.94
1772523348.082058,33.25,22.94
1772523349.0895958,33.25,23.0
1772523350.0950341,33.25,23.0
1772523351.102046,33.25,23.0
1772523352.109038,33.25,22.94
1772523353.1151192,33.25,22.94
1772523354.122123,33.25,23.0
1772523355.129069,33.25,23.0
1772523356.1361248,33.25,23.0
1772523357.143098,33.25,22.94
1772523358.1500711,33.25,23.0
1772523359.157093,33.25,23.0
1772523360.164135,33.5,23.0
1772523361.17117,33.5,23.0
1772523362.178169,33.5,23.0
1772523363.185091,33.5,23.0
1772523364.192083,33.5,23.0
1772523365.1990669,33.5,23.0
1772523366.2062159,33.5,23.0
1772523367.213055,33.5,23.0
1772523368.220045,33.5,23.0
1772523369.2270741,33.5,23.0
1772523370.2340748,33.75,23.0
1772523371.241076,33.5,23.0
1772523372.2480588,33.5,23.0
1772523373.255153,33.75,23.0
1772523374.263051,33.5,23.0
1772523375.27006,33.75,23.0
1772523376.277146,33.75,23.0
1772523377.284051,33.75,23.06
1772523378.291095,33.75,23.0
1772523379.299074,33.75,23.0
1772523380.306108,33.75,23.0
1772523381.313092,33.75,23.0
1772523382.3210151,33.75,23.0
1772523383.328195,33.75,23.06
1772523384.336098,33.75,23.0
1772523385.343105,34.0,23.06
1772523386.3501031,34.0,23.06
1772523387.3571389,34.0,23.06
1772523388.364177,34.0,23.06
1772523389.371155,34.0,23.06
1772523390.3782048,34.0,23.06
1772523391.3860521,34.0,23.0
1772523392.393076,34.0,23.0
1772523393.4011168,34.0,23.06
1772523394.407168,34.0,23.06
1772523395.414135,34.0,23.06
1772523396.42113,34.0,23.06
1772523397.428107,34.25,23.06
1772523398.43508,34.25,23.12
1772523399.441151,34.25,23.12
1772523400.448166,34.0,23.06
1772523401.455202,34.25,23.06
1772523402.463118,34.25,23.12
1772523403.470061,34.25,23.12
1772523404.477101,34.25,23.12
1772523405.4841018,34.25,23.12
1772523406.491105,34.25,23.12
1772523407.4980989,34.5,23.12
1772523408.505116,34.5,23.12
1772523409.511219,34.25,23.06
1772523410.518134,34.5,23.12
1772523411.524174,34.5,23.12
1772523412.531134,34.5,23.12
1772523413.537156,34.5,23.12
1772523414.5441642,34.5,23.12
1772523415.5511281,34.5,23.12
1772523416.558113,34.5,23.12
1772523417.564212,34.5,23.12
1772523418.5711958,34.5,23.12
1772523419.578182,34.5,23.12
1772523420.585094,34.5,23.12
